 ispLEVER Classic 1.4.01.04.23.l1 Fitter Report File 
Project Name,mach64board_project
Project Path,C:\Users\tmcphillips\Hobbies\MACH64 Projects\7.5.Lab05\DIPsTo7SegmentDisplay
Project Fitted on,Mon Jan 16 15:13:00 2012

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,TDI,-,,,,,
2,I_O,0,A10,,,,
3,I_O,0,A12,,,,
4,I_O,0,A14,,,,
5,GNDIO0,-,,,,,
6,VCCIO0,-,,,,,
7,I_O,0,B0,,,,
8,I_O,0,B2,,,,
9,I_O,0,B4,,,,
10,I_O,0,B6,,,,
11,TCK,-,,,,,
12,VCC,-,,,,,
13,GND,-,,,,,
14,I_O,0,B8,*,LVCMOS18,Input,d3
15,I_O,0,B10,*,LVCMOS18,Input,d2
16,I_O,0,B12,*,LVCMOS18,Input,d1
17,I_O,0,B14,*,LVCMOS18,Input,d0
18,INCLK1,0,,,,,
19,INCLK2,1,,,,,
20,I_O,1,C0,*,LVCMOS18,Tri-Out,a
21,I_O,1,C2,*,LVCMOS18,Tri-Out,b
22,I_O,1,C4,*,LVCMOS18,Tri-Out,c
23,I_O,1,C6,*,LVCMOS18,Tri-Out,d
24,I_O,1,C8,*,LVCMOS18,Tri-Out,e
25,TMS,-,,,,,
26,I_O,1,C10,*,LVCMOS18,Tri-Out,f
27,I_O,1,C12,*,LVCMOS18,Tri-Out,g
28,I_O,1,C14,*,LVCMOS18,Input,enableDisplay
29,GNDIO1,-,,,,,
30,VCCIO1,-,,,,,
31,I_O,1,D0,*,LVCMOS18,Input,enableHex
32,I_O,1,D2,,,,
33,I_O,1,D4,,,,
34,I_O,1,D6,,,,
35,TDO,-,,,,,
36,VCC,-,,,,,
37,GND,-,,,,,
38,I_O,1,D8,,,,
39,I_O,1,D10,,,,
40,I_O,1,D12,,,,
41,I_O/OE,1,D14,,,,
42,INCLK3,1,,,,,
43,INCLK0,0,,,,,
44,I_O/OE,0,A0,,,,
45,I_O,0,A2,,,,
46,I_O,0,A4,,,,
47,I_O,0,A6,,,,
48,I_O,0,A8,,,,
