 ispLEVER Classic 1.4.01.04.23.l1 Fitter Report File 
Project Name,mach64board_project
Project Path,C:\Users\tmcphillips\Hobbies\MACH64 Projects\PellerinChap5\ThreeWayMultiplexer
Project Fitted on,Mon Jan 16 16:17:17 2012

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,TDI,-,,,,,
2,I_O,0,A10,,,,
3,I_O,0,A12,,,,
4,I_O,0,A14,,,,
5,GNDIO0,-,,,,,
6,VCCIO0,-,,,,,
7,I_O,0,B0,*,LVCMOS18,Input,s0
8,I_O,0,B2,*,LVCMOS18,Input,s1
9,I_O,0,B4,,,,
10,I_O,0,B6,,,,
11,TCK,-,,,,,
12,VCC,-,,,,,
13,GND,-,,,,,
14,I_O,0,B8,*,LVCMOS18,Input,c0
15,I_O,0,B10,*,LVCMOS18,Input,c1
16,I_O,0,B12,*,LVCMOS18,Input,c2
17,I_O,0,B14,*,LVCMOS18,Input,c3
18,INCLK1,0,,,,,
19,INCLK2,1,,,,,
20,I_O,1,C0,*,LVCMOS18,Input,b0
21,I_O,1,C2,*,LVCMOS18,Input,b1
22,I_O,1,C4,*,LVCMOS18,Input,b2
23,I_O,1,C6,*,LVCMOS18,Input,b3
24,I_O,1,C8,*,LVCMOS18,Input,a0
25,TMS,-,,,,,
26,I_O,1,C10,*,LVCMOS18,Input,a1
27,I_O,1,C12,*,LVCMOS18,Input,a2
28,I_O,1,C14,*,LVCMOS18,Input,a3
29,GNDIO1,-,,,,,
30,VCCIO1,-,,,,,
31,I_O,1,D0,*,LVCMOS18,Output,y0
32,I_O,1,D2,*,LVCMOS18,Output,y1
33,I_O,1,D4,*,LVCMOS18,Output,y2
34,I_O,1,D6,*,LVCMOS18,Output,y3
35,TDO,-,,,,,
36,VCC,-,,,,,
37,GND,-,,,,,
38,I_O,1,D8,,,,
39,I_O,1,D10,,,,
40,I_O,1,D12,,,,
41,I_O/OE,1,D14,,,,
42,INCLK3,1,,,,,
43,INCLK0,0,,,,,
44,I_O/OE,0,A0,,,,
45,I_O,0,A2,,,,
46,I_O,0,A4,,,,
47,I_O,0,A6,,,,
48,I_O,0,A8,,,,
