 ispLEVER Classic 1.4.01.04.23.l1 Fitter Report File 
Project Name,mach64board_project
Project Path,C:\Users\tmcphillips\Hobbies\MACH64 Projects\ALU\ALU_1
Project Fitted on,Sat Dec 10 22:26:51 2011

Pin,Pin_Type,Bank,GLB_Pad,Assigned,I/O_Type,Signal_Type,Signal_Name
1,TDI,-,,,,,
2,I_O,0,A10,*,LVCMOS18,Output,bd0
3,I_O,0,A12,*,LVCMOS18,Output,bd1
4,I_O,0,A14,*,LVCMOS18,Output,bd2
5,GNDIO0,-,,,,,
6,VCCIO0,-,,,,,
7,I_O,0,B0,*,LVCMOS18,Input,op0
8,I_O,0,B2,*,LVCMOS18,Input,op1
9,I_O,0,B4,*,LVCMOS18,Input,op2
10,I_O,0,B6,*,LVCMOS18,Input,op3
11,TCK,-,,,,,
12,VCC,-,,,,,
13,GND,-,,,,,
14,I_O,0,B8,,,,
15,I_O,0,B10,,,,
16,I_O,0,B12,,,,
17,I_O,0,B14,,,,
18,INCLK1,0,,,,,
19,INCLK2,1,,,,,
20,I_O,1,C0,*,LVCMOS18,Input,b0
21,I_O,1,C2,*,LVCMOS18,Input,b1
22,I_O,1,C4,*,LVCMOS18,Input,b2
23,I_O,1,C6,*,LVCMOS18,Input,b3
24,I_O,1,C8,*,LVCMOS18,Input,a0
25,TMS,-,,,,,
26,I_O,1,C10,*,LVCMOS18,Input,a1
27,I_O,1,C12,*,LVCMOS18,Input,a2
28,I_O,1,C14,*,LVCMOS18,Input,a3
29,GNDIO1,-,,,,,
30,VCCIO1,-,,,,,
31,I_O,1,D0,*,LVCMOS18,Output,c0
32,I_O,1,D2,*,LVCMOS18,Output,c1
33,I_O,1,D4,*,LVCMOS18,Output,c2
34,I_O,1,D6,*,LVCMOS18,Output,c3
35,TDO,-,,,,,
36,VCC,-,,,,,
37,GND,-,,,,,
38,I_O,1,D8,*,LVCMOS18,Output,zf
39,I_O,1,D10,*,LVCMOS18,Output,cf
40,I_O,1,D12,*,LVCMOS18,Output,bd3
41,I_O/OE,1,D14,,,,
42,INCLK3,1,,,,,
43,INCLK0,0,,,,,
44,I_O/OE,0,A0,,,,
45,I_O,0,A2,*,LVCMOS18,Output,ad0
46,I_O,0,A4,*,LVCMOS18,Output,ad1
47,I_O,0,A6,*,LVCMOS18,Output,ad2
48,I_O,0,A8,*,LVCMOS18,Output,ad3
